symbol,company,industry,index_source,market_cap_cr_at_add,turnover_cr_at_add
BEPL,Bhansali Engineering Polymers Limited,,nse_gap,3075.0,18.36
ARVSMART,Arvind SmartSpaces Limited,,nse_gap,3061.0,4.85
MONARCH,Monarch Networth Capital Limited,,nse_gap,3057.0,3.64
BOROLTD,Borosil Limited,,nse_gap,3053.0,2.48
RML,Rane (Madras) Limited,,nse_gap,3043.0,2.6
BALMLAWRIE,Balmer Lawrie & Company Limited,,nse_gap,2998.0,1.62
JASH,Jash Engineering Limited,,nse_gap,2986.0,3.56
PANAMAPET,Panama Petrochem Limited,,nse_gap,2984.0,15.16
RAMCOIND,Ramco Industries Limited,,nse_gap,2975.0,4.94
NSIL,Nalwa Sons Investments Limited,,nse_gap,2970.0,1.07
NAVNETEDUL,Navneet Education Limited,,nse_gap,2955.0,1.73
ADFFOODS,ADF Foods Limited,,nse_gap,2940.0,2.93
CARRARO,Carraro India Limited,,nse_gap,2934.0,6.73
INTERARCH,Interarch Building Solutions Limited,,nse_gap,2912.0,9.32
GANECOS,Ganesha Ecosphere Limited,,nse_gap,2894.0,7.17
DDEVPLSTIK,Ddev Plastiks Industries Limited,,nse_gap,2875.0,2.86
MANGLMCEM,Mangalam Cement Limited,,nse_gap,2863.0,3.64
RPSGVENT,RPSG VENTURES LIMITED,,nse_gap,2862.0,1.94
GLOBUSSPR,Globus Spirits Limited,,nse_gap,2861.0,6.27
SANGAMIND,Sangam (India) Limited,,nse_gap,2859.0,1.26
BLSE,BLS E-Services Limited,,nse_gap,2855.0,12.5
MAITHANALL,Maithan Alloys Limited,,nse_gap,2844.0,3.07
CHEMPLASTS,Chemplast Sanmar Limited,,nse_gap,2844.0,4.46
RSYSTEMS,R Systems International Limited,,nse_gap,2836.0,4.82
EFCIL,EFC (I) Limited,,nse_gap,2835.0,5.8
PRABHA,Prabha Energy Limited,,nse_gap,2822.0,1.72
DIAMONDYD,Prataap Snacks Limited,,nse_gap,2817.0,2.09
ANTELOPUS,Antelopus Selan Energy Limited,,nse_gap,2809.0,10.34
POKARNA,Pokarna Limited,,nse_gap,2783.0,3.97
ROSSARI,Rossari Biotech Limited,,nse_gap,2779.0,2.52
NILKAMAL,Nilkamal Limited,,nse_gap,2775.0,9.86
ORISSAMINE,The Orissa Minerals Development Company Limited,,nse_gap,2770.0,4.57
SIYSIL,Siyaram Silk Mills Limited,,nse_gap,2751.0,3.1
KIRIINDUS,Kiri Industries Limited,,nse_gap,2742.0,39.35
ADOR,Ador Welding Limited,,nse_gap,2730.0,5.73
VIMTALABS,Vimta Labs Limited,,nse_gap,2730.0,10.47
DCAL,Dishman Carbogen Amcis Limited,,nse_gap,2721.0,4.43
MUFIN,Mufin Green Finance Limited,,nse_gap,2714.0,11.95
NOCIL,NOCIL Limited,,nse_gap,2704.0,7.06
MEDIASSIST,Medi Assist Healthcare Services Limited,,nse_gap,2695.0,5.44
XPROINDIA,Xpro India Limited,,nse_gap,2680.0,8.72
GIPCL,Gujarat Industries Power Company Limited,,nse_gap,2680.0,9.72
SPORTKING,Sportking India Limited,,nse_gap,2675.0,8.68
FLAIR,Flair Writing Industries Limited,,nse_gap,2661.0,1.75
PARAGMILK,Parag Milk Foods Limited,,nse_gap,2652.0,16.93
TALBROAUTO,Talbros Automotive Components Limited,,nse_gap,2629.0,6.04
HIKAL,Hikal Limited,,nse_gap,2626.0,4.75
BBL,Bharat Bijlee Limited,,nse_gap,2624.0,5.64
SOLARA,Solara Active Pharma Sciences Limited,,nse_gap,2622.0,11.09
RISHABH,Rishabh Instruments Limited,,nse_gap,2620.0,13.03
RAMKY,Ramky Infrastructure Limited,,nse_gap,2619.0,1.24
TASTYBITE,Tasty Bite Eatables Limited,,nse_gap,2601.0,3.49
RAJRATAN,Rajratan Global Wire Limited,,nse_gap,2584.0,3.84
HUBTOWN,Hubtown Limited,,nse_gap,2575.0,6.38
VEEDOL,Veedol Corporation Limited,,nse_gap,2561.0,1.46
ALEMBICLTD,Alembic Limited,,nse_gap,2536.0,3.81
EVEREADY,Eveready Industries India Limited,,nse_gap,2536.0,2.6
SATIN,Satin Creditcare Network Limited,,nse_gap,2519.0,6.5
PANACEABIO,Panacea Biotec Limited,,nse_gap,2511.0,6.01
PARKHOTELS,Apeejay Surrendra Park Hotels Limited,,nse_gap,2502.0,1.37
INDNIPPON,India Nippon Electricals Limited,,nse_gap,2501.0,2.24
SILVERTUC,Silver Touch Technologies Limited,,nse_gap,2498.0,9.4
