[502/651] ok    JAMNAAUTO (1856 rows)
[503/651] ok    JSFB (591 rows)
[504/651] ok    JAYNECOIND (1856 rows)
[505/651] ok    JSLL (1032 rows)
[506/651] ok    JLHL (688 rows)
[507/651] ok    JUSTDIAL (1856 rows)
[508/651] ok    JYOTHYLAB (1856 rows)
[509/651] ok    KNRCON (1856 rows)
[511/651] ok    KRBL (1855 rows)
[512/651] ok    KRN (436 rows)
[513/651] ok    KSB (1856 rows)
[514/651] ok    KANSAINER (1854 rows)
[515/651] ok    KTKBANK (1856 rows)
[516/651] ok    KSCL (1855 rows)
[517/651] ok    KIRLOSBROS (1856 rows)
[518/651] ok    KIRLPNU (789 rows)
[519/651] ok    KITEX (1856 rows)
[520/651] ok    LXCHEM (1305 rows)
[521/651] ok    IXIGO (510 rows)
[522/651] ok    LLOYDSENGG (1856 rows)
[523/651] ok    LLOYDSENT (425 rows)
[524/651] ok    LUMAXTECH (1855 rows)
[525/651] ok    MOIL (1856 rows)
[526/651] ok    MSTCLTD (1796 rows)
[527/651] ok    MTARTECH (1313 rows)
[528/651] ok    MAHSCOOTER (1855 rows)
[529/651] ok    MAHSEAMLES (1856 rows)
[530/651] ok    MANORAMA (991 rows)
[531/651] ok    MARKSANS (1856 rows)
[532/651] ok    MASTEK (1856 rows)
[533/651] ok    MEDPLUS (1119 rows)
[534/651] ok    METROPOLIS (1786 rows)
[535/651] ok    MIDHANI (1856 rows)
[536/651] ok    BECTORFOOD (1367 rows)
[537/651] ok    NEOGEN (1773 rows)
[538/651] ok    NESCO (1854 rows)
[539/651] ok    NFL (1856 rows)
[540/651] ok    NAZARA (1303 rows)
[541/651] ok    NETWORK18 (1856 rows)
[542/651] ok    OPTIEMUS (1855 rows)
[543/651] ok    ORIENTCEM (1855 rows)
[544/651] ok    ORKLAINDIA (165 rows)
[545/651] ok    OSWALPUMPS (259 rows)
[546/651] ok    PNGJL (447 rows)
[547/651] ok    PCJEWELLER (1856 rows)
[548/651] ok    PNCINFRA (1856 rows)
[549/651] ok    PTC (1856 rows)
[550/651] ok    PARAS (1177 rows)
[551/651] ok    PARKHOSPS (136 rows)
[552/651] ok    PGIL (1855 rows)
[553/651] ok    PICCADIL (251 rows)
[554/651] ok    POWERMECH (1855 rows)
[555/651] ok    PRAJIND (1856 rows)
[556/651] ok    PRICOLLTD (1855 rows)
[557/651] ok    PFOCUS (1855 rows)
[558/651] ok    PRSMJOHNSN (1854 rows)
[559/651] ok    PRIVISCL (1855 rows)
[560/651] ok    PRUDENT (1020 rows)
[561/651] ok    PURVA (1855 rows)
[562/651] ok    QPOWER (336 rows)
[563/651] ok    QUESS (1856 rows)
[564/651] ok    RAIN (1856 rows)
[565/651] ok    RALLIS (1856 rows)
[566/651] ok    RCF (1856 rows)
[567/651] ok    RATEGAIN (1124 rows)
[568/651] ok    RATNAMANI (1855 rows)
[569/651] ok    RTNINDIA (1856 rows)
[570/651] ok    RTNPOWER (1856 rows)
[571/651] ok    RAYMONDLSL (455 rows)
[572/651] ok    REDTAPE (715 rows)
[573/651] ok    REFEX (1855 rows)
[574/651] ok    RELAXO (1855 rows)
[575/651] ok    RELIGARE (1855 rows)
[576/651] ok    RBA (1374 rows)
[577/651] ok    ROUTE (1433 rows)
[578/651] ok    RUBICON (176 rows)
[579/651] ok    SKFINDUS (141 rows)
[580/651] ok    SKFINDIA (1856 rows)
[581/651] ok    SKYGOLD (862 rows)
[582/651] ok    SMLMAH (1856 rows)
[583/651] ok    SHRIPISTON (1855 rows)
[584/651] ok    SAATVIKGL (191 rows)
[585/651] ok    SAFARI (1685 rows)
[586/651] ok    SAMHI (687 rows)
[587/651] ok    SANDUMA (697 rows)
[588/651] ok    SANOFICONR (448 rows)
[589/651] ok    SANSERA (1182 rows)
[590/651] ok    SENCO (735 rows)
[591/651] ok    STYL (189 rows)
[592/651] ok    SHAILY (1052 rows)
[593/651] ok    SHAKTIPUMP (1856 rows)
[594/651] ok    SHARDACROP (1855 rows)
[595/651] ok    SHAREINDIA (1433 rows)
[596/651] ok    SFL (1856 rows)
[597/651] ok    SHILPAMED (1856 rows)
[598/651] ok    RENUKA (1856 rows)
[599/651] ok    SKIPPER (1855 rows)
[600/651] ok    SMARTWORKS (239 rows)
[601/651] ok    SOUTHBANK (1856 rows)
[602/651] ok    LOTUSDEV (226 rows)
[603/651] ok    STARCEMENT (1855 rows)
[604/651] ok    SWSOLAR (1702 rows)
[605/651] ok    STLTECH (1856 rows)
[606/651] ok    STAR (1856 rows)
[607/651] ok    STYRENIX (1856 rows)
[608/651] ok    SUBROS (1855 rows)
[609/651] ok    SUDARSCHEM (1855 rows)
[610/651] ok    SUDEEPPHRM (149 rows)
[611/651] ok    SPARC (1856 rows)
[612/651] ok    SUNTECK (1856 rows)
[613/651] ok    SUPRIYA (1117 rows)
[614/651] ok    SURYAROSNI (1856 rows)
[615/651] ok    TARC (1370 rows)
[616/651] ok    TDPOWERSYS (1856 rows)
[617/651] ok    TSFINV (1856 rows)
[618/651] ok    TVSSCS (707 rows)
[619/651] ok    TMB (939 rows)
[620/651] ok    TANLA (1856 rows)
[621/651] ok    TEXRAIL (1856 rows)
[622/651] ok    THANGAMAYL (1856 rows)
[623/651] ok    ANUP (1813 rows)
[624/651] ok    THOMASCOOK (1856 rows)
[625/651] ok    THYROCARE (1856 rows)
[626/651] ok    TI (1856 rows)
[627/651] ok    TIMETECHNO (1856 rows)
[628/651] ok    TIPSMUSIC (1856 rows)
[629/651] ok    TRANSRAILL (378 rows)
[630/651] ok    TRIVENI (1856 rows)
[631/651] ok    UJJIVANSFB (1626 rows)
[632/651] ok    VGUARD (1855 rows)
[633/651] ok    VMART (1855 rows)
[634/651] ok    VIPIND (1855 rows)
[635/651] ok    V2RETAIL (1856 rows)
[636/651] ok    WABAG (1856 rows)
[637/651] ok    VAIBHAVGBL (1855 rows)
[638/651] ok    DBREALTY (1856 rows)
[639/651] ok    VARROC (1855 rows)
[640/651] ok    MANYAVAR (1082 rows)
[641/651] ok    VIKRAMSOLR (213 rows)
[642/651] ok    VIYASH (1856 rows)
[643/651] ok    VOLTAMP (1856 rows)
[645/651] ok    WAKEFIT (137 rows)
[646/651] ok    WEWORK (180 rows)
[647/651] ok    WEBELSOLAR (1856 rows)
[648/651] ok    WELENT (1856 rows)
[649/651] ok    WESTLIFE (1702 rows)
