symbol,company,score,coverage_pct,vetoed,assessed,veto_reasons,archetypes,arm,close,tag,rs_pctile,tt_checks,pct_below_52w_high,run_3m_pct,vol_expansion,ep,market_cap_cr,median_turnover_cr,median_trades,band_pct,circuit_frac,in_index_universe,atr,stop_suggested,stop_basis,risk_flags,tier,rank
PROZONER,Prozone Realty Limited,49.2,100.0,False,True,,,price+mcap,49.7599983215332,WATCH,73.4,2,31.6,-1.3,0.99,False,687.0,0.707,912.0,20.0,0.0,False,2.49,43.53,2.5xATR (13% wide),,0,87
SCILAL,Shipping Corporation of India Land and Assets Limited,49.1,100.0,False,True,,,price,39.77000045776367,BROKEN,29.6,0,27.7,-11.2,0.22,False,1854.0,0.71,1115.0,20.0,0.0,False,0.79,37.8,2.5xATR (5% wide),,0,88
SHANKARA,Shankara Building Products Limited,48.7,100.0,False,True,,,mcap,148.17999267578125,WATCH,36.7,7,85.9,34.0,0.66,False,350.0,0.933,563.0,20.0,0.0,False,2.6,141.68,2.5xATR (4% wide),,0,89
DCMSRIND,DCM Shriram Industries Limited,48.7,100.0,False,True,,Deleveraging,price+mcap,44.90999984741211,WATCH,32.9,3,75.3,11.0,1.71,False,392.0,0.916,1543.0,20.0,0.0,False,3.16,37.01,2.5xATR (18% wide),,0,90
NCLIND,NCL Industries Limited,48.7,100.0,False,True,,,mcap,177.80999755859375,BROKEN,40.7,1,19.3,-3.9,0.94,False,800.0,0.696,2778.0,20.0,0.0,False,4.64,166.21,2.5xATR (7% wide),,0,91
IFBAGRO,IFB Agro Industries Limited,48.6,100.0,False,True,,Hyper-growth,mcap,903.2999877929688,BROKEN,71.4,1,49.5,2.0,0.27,False,858.0,0.522,429.0,20.0,0.0,False,35.45,814.67,2.5xATR (10% wide),,0,92
RADIANTCMS,Radiant Cash Management Services Limited,48.1,100.0,False,True,,,price+mcap,41.77999877929688,WATCH,54.3,2,27.9,9.9,2.16,False,418.0,0.697,1596.0,20.0,0.0,False,2.06,36.63,2.5xATR (12% wide),,0,93
PNBGILTS,PNB Gilts Limited,47.7,100.0,False,True,,,price,83.08000183105469,WATCH,52.5,5,21.6,-10.8,0.18,False,1386.0,1.87,2166.0,20.0,0.0,False,2.79,76.11,2.5xATR (8% wide),,0,94
SUYOG,Suyog Telematics Limited,47.6,100.0,False,True,,,mcap,731.2000122070312,BROKEN,55.8,6,20.6,4.5,0.74,False,880.0,1.421,1200.0,20.0,0.0,False,31.21,653.18,2.5xATR (11% wide),,0,95
MANCREDIT,Mangal Credit and Fincorp Limited,47.4,100.0,False,True,,,mcap,228.3300018310547,WATCH,85.9,7,20.5,10.7,0.48,False,481.0,4.007,2005.0,20.0,0.0,False,13.09,195.61,2.5xATR (14% wide),,0,96
SURAJEST,Suraj Estate Developers Limited,47.4,100.0,False,True,,,mcap,178.25,BROKEN,9.0,0,44.1,-7.7,1.69,False,931.0,2.368,1069.0,20.0,0.0,False,5.9,163.5,2.5xATR (8% wide),,0,97
NETWORK18,Network18 Media & Investments Limited,47.3,100.0,False,True,,Deleveraging,price,28.3799991607666,BROKEN,8.0,0,51.2,-11.1,0.96,False,4249.0,8.805,8433.0,20.0,0.0,True,1.26,25.23,2.5xATR (11% wide),,0,98
SERVOTECH,Servotech Renewable Power System Limited,47.3,100.0,False,True,,,price,79.62000274658203,WATCH,46.2,3,44.3,-23.1,0.2,False,1802.0,2.487,3942.0,20.0,0.0,False,1.96,74.72,2.5xATR (6% wide),,0,99
KHAICHEM,Khaitan Chemicals & Fertilizers Limited,47.3,100.0,False,True,,,price+mcap,54.86000061035156,WATCH,17.1,1,59.6,-0.3,2.43,False,546.0,0.909,1147.0,20.0,0.0,False,2.69,48.14,2.5xATR (12% wide),,0,100
REMSONSIND,Remsons Industries Limited,47.1,100.0,False,True,,,price+mcap,99.3499984741211,WATCH,30.2,3,34.8,22.5,0.91,False,340.0,0.827,1698.0,20.0,0.0,False,5.13,86.52,2.5xATR (13% wide),promoter sold 3.4 pts in 4 quarters,0,101
