symbol,industry,index_source,turnover_cr,rs_blend_raw,rs_improving,stage,last_close,rs_pctile,tag
LLOYDSENT,Metals & Mining,microcap250,48.59,1.248,False,2,78.04000091552734,71.82410423452768,WATCH
OLECTRA,Automobile and Auto Components,smallcap250,82.62,1.244,False,2,1336.300048828125,71.66123778501628,WATCH
JLHL,Healthcare,microcap250,5.8,1.241,True,3,323.20001220703125,71.49837133550488,WATCH
SENCO,Consumer Durables,microcap250,78.76,1.236,False,2,382.8500061035156,71.33550488599349,WATCH
HEG,Capital Goods,smallcap250,172.63,1.235,False,3,643.1500244140625,71.17263843648209,WATCH
TANLA,Information Technology,microcap250,129.97,1.234,False,3,599.75,71.00977198697068,WATCH
SUPRIYA,Healthcare,microcap250,39.59,1.232,True,2,840.5,70.76547231270358,WATCH
PRUDENT,Financial Services,microcap250,6.14,1.232,False,2,2858.89990234375,70.76547231270358,WATCH
CARTRADE,Consumer Services,smallcap250,175.47,1.226,True,3,2656.39990234375,70.43973941368078,WATCH
DATAMATICS,Information Technology,microcap250,16.69,1.226,False,1,821.5,70.43973941368078,WATCH
KAJARIACER,Consumer Durables,smallcap250,34.8,1.223,False,2,1214.9000244140625,70.19543973941367,WATCH
MRPL,Oil Gas & Consumable Fuels,smallcap250,382.67,1.222,False,3,169.75,69.95114006514657,WATCH
IFCI,Financial Services,smallcap250,176.08,1.222,False,2,70.12000274658203,69.95114006514657,WATCH
LUPIN,Healthcare,midcap150,203.38,1.221,False,2,2370.5,69.70684039087948,WATCH
MARICO,Fast Moving Consumer Goods,midcap150,187.7,1.22,False,2,855.5999755859375,69.54397394136808,WATCH
VARROC,Automobile and Auto Components,microcap250,10.33,1.219,True,3,642.75,69.29967426710097,WATCH
MANORAMA,Fast Moving Consumer Goods,microcap250,28.36,1.219,False,2,1585.5,69.29967426710097,CONFIRMED
M&MFIN,Financial Services,midcap150,262.5,1.218,True,3,356.5,69.05537459283387,WATCH
DELHIVERY,Services,smallcap250,313.95,1.217,False,2,462.5499877929688,68.81107491856677,WATCH
VOLTAMP,Capital Goods,microcap250,26.64,1.217,False,2,9180.0,68.81107491856677,WATCH
BIOCON,Healthcare,midcap150,305.04,1.216,False,2,433.6499938964844,68.48534201954396,CONFIRMED
MEDANTA,Healthcare,midcap150,23.95,1.216,False,2,1371.0,68.48534201954396,WATCH
ANGELONE,Financial Services,smallcap250,242.3,1.214,False,2,307.95001220703125,68.24104234527687,WATCH
TI,Fast Moving Consumer Goods,microcap250,16.1,1.213,False,1,441.7999877929688,68.07817589576547,WATCH
STAR,Healthcare,microcap250,16.57,1.212,False,2,1020.0,67.91530944625407,WATCH
KALYANKJIL,Consumer Durables,midcap150,2155.48,1.209,True,3,573.5499877929688,67.67100977198697,WATCH
SAIL,Metals & Mining,midcap150,241.29,1.209,False,1,161.4499969482422,67.67100977198697,WATCH
DIXON,Consumer Durables,midcap150,911.26,1.208,False,1,13846.0,67.42671009771986,WATCH
VAIBHAVGBL,Consumer Durables,microcap250,15.67,1.203,False,3,251.94000244140625,67.10097719869707,WATCH
LXCHEM,Chemicals,microcap250,27.48,1.203,False,3,182.27999877929688,67.10097719869707,WATCH
KPRMILL,Textiles,midcap150,47.82,1.203,False,2,1061.5,67.10097719869707,WATCH
ATGL,Oil Gas & Consumable Fuels,midcap150,140.5,1.202,False,2,652.8499755859375,66.69381107491856,WATCH
TEJASNET,Telecommunication,smallcap250,133.54,1.202,False,2,495.3999938964844,66.69381107491856,WATCH
JKPAPER,Forest Materials,microcap250,36.54,1.201,False,3,401.4500122070313,66.44951140065146,WATCH
FIEMIND,Automobile and Auto Components,microcap250,8.5,1.195,False,3,2331.89990234375,66.28664495114006,WATCH
FORTIS,Healthcare,midcap150,142.67,1.19,False,3,948.7000122070312,66.04234527687296,WATCH
GMRAIRPORT,Services,midcap150,250.62,1.19,False,2,107.12000274658205,66.04234527687296,WATCH
KPIL,Construction,smallcap250,23.09,1.187,False,2,1299.9000244140625,65.79804560260585,WATCH
V2RETAIL,Consumer Services,microcap250,27.82,1.184,False,3,219.2899932861328,65.55374592833876,WATCH
INOXGREEN,Services,microcap250,23.04,1.184,True,1,191.8699951171875,65.55374592833876,WATCH
TRITURBINE,Capital Goods,smallcap250,50.45,1.182,False,2,611.7999877929688,65.22801302931596,WATCH
INDIANB,Financial Services,midcap150,333.43,1.182,False,3,826.0999755859375,65.22801302931596,BROKEN
KSB,Capital Goods,microcap250,8.6,1.18,False,2,866.0499877929688,64.98371335504885,WATCH
NMDC,Metals & Mining,midcap150,161.44,1.176,False,3,83.55999755859375,64.82084690553745,BROKEN
SUMICHEM,Chemicals,smallcap250,114.78,1.174,False,2,520.4500122070312,64.65798045602605,WATCH
ACE,Capital Goods,smallcap250,72.32,1.172,False,3,1039.4000244140625,64.41368078175896,WATCH
DCBBANK,Financial Services,microcap250,18.15,1.172,False,3,186.2400054931641,64.41368078175896,WATCH
PNGJL,Consumer Durables,microcap250,33.01,1.17,False,3,647.0,64.00651465798045,WATCH
GRAPHITE,Capital Goods,smallcap250,84.93,1.17,False,2,672.75,64.00651465798045,CONFIRMED
PAYTM,Financial Services,midcap150,493.5,1.17,True,3,1283.199951171875,64.00651465798045,WATCH
JSWENERGY,Power,midcap150,161.74,1.168,False,2,551.6500244140625,63.68078175895765,WATCH
ENGINERSIN,Construction,smallcap250,44.98,1.167,False,2,225.2100067138672,63.436482084690546,WATCH
TIINDIA,Automobile and Auto Components,midcap150,68.15,1.167,False,2,2767.0,63.436482084690546,WATCH
VMART,Consumer Services,microcap250,13.56,1.166,False,3,724.6500244140625,63.19218241042345,WATCH
HCG,Healthcare,microcap250,17.8,1.165,True,3,666.5499877929688,63.029315960912044,WATCH
AUBANK,Financial Services,midcap150,209.45,1.161,False,2,1004.0,62.866449511400646,WATCH
THELEELA,Consumer Services,smallcap250,16.39,1.16,False,2,474.7000122070313,62.54071661237784,WATCH
STYRENIX,Chemicals,microcap250,13.36,1.16,False,2,2455.0,62.54071661237784,WATCH
GRAVITA,Metals & Mining,smallcap250,56.14,1.16,False,3,1775.699951171875,62.54071661237784,WATCH
3MINDIA,Diversified,midcap150,18.59,1.159,True,3,35500.0,62.133550488599354,WATCH
